33, zero, C1
35, one, C#1
37, two, D1
39, three, D#1
41, four, E1
44, five, F1
46, six, F#1
49, seven, G1
52, eight, G#1
55, nine, A1
58, ten, A#1
62, hundred, B1
65, thousand, C2
69, million, C#2
73, time, D2
78, day, D#2
82, night, E2
87, world, F2
92, life, F#2
98, death, G2
104, friend, G#2
110, home, A2
117, help, A#2
123, danger, B2
131, I, C3
139, you, C#3
147, he, D3
156, she, D#3
165, it, E3
175, we, F3
185, they, F#3
196, name, G3
208, human, G#3
220, alien, A3
233, ship, A#3
247, star, B3
262, planet, C4
277, Earth, C#4
294, sun, D4
311, science, D#4
330, come, E4
349, see, F4
370, say, F#4
392, know, G4
415, want, G#4
440, make, A4
466, think, A#4
494, go, B4
523, give, C5
554, use, C#5
587, find, D5
622, tell, D#5
659, ask, E5
698, feel, F5
740, try, F#5
784, leave, G5
831, here, G#5
880, there, A5
932, now, A#5
988, then, B5
1047, when, C6
1109, where, C#6
1175, who, D6
1245, what, D#6
1319, why, E6
1397, how, F6
1480, yes, F#6
1568, no, G6
1661, good, G#6
1760, bad, A6
1865, big, A#6
1976, small, B6
2093, fast, C7
2217, slow, C#7
2349, math, D7
2489, music, D#7
2637, water, E7
2794, food, F7
2960, light, F#7
3136, energy, G7
3322, fuel, G#7
3520, sound, A7
3729, problem, A#7
3951, solution, B7
4186, alive, C8
4435, dead, C#8
4699, Rocky, D8
4978, Astrophage, D#8
5274, question, E8
